id,title,released_year,runtime,genre,overview
238,Before Sunset,2004,80,"Drama, Romance","Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour."
239,Munna Bhai M.B.B.S.,2003,156,"Comedy, Drama, Musical",A gangster sets out to fulfill his father's dream of becoming a doctor.
240,Salinui chueok,2003,131,"Crime, Drama, Mystery","In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit."
241,Dil Chahta Hai,2001,183,"Comedy, Drama, Romance","Three inseparable childhood friends are just out of college. Nothing comes between them - until they each fall in love, and their wildly different approaches to relationships creates tension."
242,Kill Bill: Vol. 1,2003,111,"Action, Crime, Drama","After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her."
243,Finding Nemo,2003,100,"Animation, Adventure, Comedy","After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home."
244,Catch Me If You Can,2002,141,"Biography, Crime, Drama","Barely 21 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit."
245,Amores perros,2000,154,"Drama, Thriller","A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love."
246,"Monsters, Inc.",2001,92,"Animation, Adventure, Comedy","In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, 2 monsters realize things may not be what they think."
247,"Shin seiki Evangelion Gekij\364-ban: Air/Magokoro wo, kimi ni",1997,87,"Animation, Action, Drama",Concurrent theatrical ending of the TV series Shin seiki evangerion (1995).
248,Lagaan: Once Upon a Time in India,2001,224,"Adventure, Drama, Musical",The people of a small village in Victorian India stake their future on a game of cricket against their ruthless British rulers.
249,The Sixth Sense,1999,107,"Drama, Mystery, Thriller",A boy who communicates with spirits seeks the help of a disheartened child psychologist.
250,La leggenda del pianista sull'oceano,1998,169,"Drama, Music, Romance","A baby boy, discovered in 1900 on an ocean liner, grows into a musical prodigy, never setting foot on land."
251,The Truman Show,1998,103,"Comedy, Drama",An insurance salesman discovers his whole life is actually a reality TV show.
252,"Crna macka, beli macor",1998,127,"Comedy, Crime, Romance",Matko and his son Zare live on the banks of the Danube river and get by through hustling and basically doing anything to make a living. In order to pay off a business debt Matko agrees to marry off Zare to the sister of a local gangster.
253,The Big Lebowski,1998,117,"Comedy, Crime, Sport","Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for his ruined rug and enlists his bowling buddies to help get it."
254,Fa yeung nin wah,2000,98,"Drama, Romance","Two neighbors, a woman and a man, form a strong bond after both suspect extramarital activities of their spouses. However, they agree to keep their bond platonic so as not to commit similar wrongs."
255,Trainspotting,1996,93,Drama,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends."
256,Fargo,1996,98,"Crime, Drama, Thriller",Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.
257,Underground,1995,170,"Comedy, Drama, War","A group of Serbian socialists prepares for the war in a surreal underground filled by parties, tragedies, love and hate."
258,La haine,1995,98,"Crime, Drama",24 hours in the lives of three young men in the French suburbs the day after a violent riot.
259,Dilwale Dulhania Le Jayenge,1995,189,"Drama, Romance","When Raj meets Simran in Europe, it isn't love at first sight but when Simran moves to India for an arranged marriage, love makes its presence felt."
260,Before Sunrise,1995,101,"Drama, Romance","A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together."
261,Trois couleurs: Rouge,1994,99,"Drama, Mystery, Romance",A model discovers a retired judge is keen on invading people's privacy.
262,Chung Hing sam lam,1994,102,"Comedy, Crime, Drama","Two melancholy Hong Kong policemen fall in love: one with a mysterious female underworld figure, the other with a beautiful and ethereal server at a late-night restaurant he frequents."
263,Jurassic Park,1993,127,"Action, Adventure, Sci-Fi",A pragmatic paleontologist visiting an almost complete theme park is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.
264,In the Name of the Father,1993,133,"Biography, Crime, Drama",A man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.
265,Ba wang bie ji,1993,171,"Drama, Music, Romance",Two boys meet at an opera training school in Peking in 1924. Their resulting friendship will span nearly 70 years and will endure some of the most troublesome times in China's history.
266,D\340 h\363ng denglong gaogao gu\340,1991,125,"Drama, History, Romance","A young woman becomes the fourth wife of a wealthy lord, and must learn to live with the strict rules and tensions within the household."
267,Dead Poets Society,1989,128,"Comedy, Drama",Maverick teacher John Keating uses poetry to embolden his boarding school students to new heights of self-expression.
268,Stand by Me,1986,89,"Adventure, Drama","After the death of one of his friends, a writer recounts a childhood journey with his friends to find the body of a missing boy."
269,Platoon,1986,120,"Drama, War","Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict."
